SIMBAD_ID,mass_1,mass_68L_1,mass_68U_1,BCK,e_BCK,Teff,eTeff,logg,elogg,Meta,eMeta1,eMeta2,xi,e_xi,f_xi,S,EBV_p50,EBV_p16,EBV_p84,L,eL1,eL2,age,age_68L,age_68U,mass_2,mass_68L_2,mass_68U_2,rad,rad_68L,rad_68U,eTeff1,eTeff2,elogg1,elogg2,rho,erho1,erho2,M,eM1,eM2,R,eR1,eR2,Warning_M,Warning_R,M_ai,R_ai
HATS-52,0.95,0.8,1.09,1.51,0.08,5734,150,4.45,0.13,-0.09,0,0.17,1.19,0.15,1,Ar,0.0485656930270555,0.0259509729759806,0.0714500506412456,0.962954231454206,0.914697845160067,1.01464889979889,6.946795,2.697246,12.244718,0.930057,0.854374,0.999427,0.992357,0.945874,1.044987,150,150,0.13,0.13,NA,NA,NA,1.03817776927874,0.0562327053080373,0.0562327053080373,0.967586208579296,0.178545608848154,0.178545608848154,NA,NA,0.956401563208955,0.985636680740588
HATS-60,1.18,1.06,1.2,1.53,0.03,5730,52,4.24,0.06,0.43,0.02,0.14,1.02,0.06,0,UVES,0.0241303761589636,0.0102648176937422,0.0390081192561154,1.84149803583301,1.77663025862557,1.91059836107934,5.360368,4.635766,6.896818,1.165495,1.106674,1.194178,1.372198,1.336958,1.408192,52,52,0.06,0.06,NA,NA,NA,1.14999698162647,0.0271361986715117,0.0271361986715117,1.38051564945381,0.120526402715978,0.120526402715978,1,1,1.02262669106061,1.33136258142703
HATS-65,1.18,1.07,1.27,1.23,0.05,6264,104,4.3,0.08,-0.04,0.04,0.11,1.11,0.06,0,UVES,0.0448671775799115,0.0215634490077467,0.0686725846996643,2.29417175800996,2.1664947063469,2.44565820155423,3.012901,1.76243,4.286106,1.159936,1.105229,1.209741,1.276669,1.222443,1.335405,104,104,0.08,0.08,NA,NA,NA,1.23241417671649,0.0410700822107282,0.0410700822107282,1.27078924272597,0.144866875561529,0.144866875561529,NA,NA,1.16168953213142,1.28925275685386
HATS-68,1.34,1.14,1.4,1.3,0.07,6130,131,4.09,0.1,0.1,0.05,0.15,1.19,0.08,0,Ar,0.0135565766798641,0.00387449940337447,0.0295209576926931,3.85148866893741,3.7492840505956,4.00546870314606,3.27364,2.65094,4.834504,1.317874,1.212053,1.37974,1.730058,1.653223,1.806153,131,131,0.1,0.1,NA,NA,NA,1.21633368438727,0.0514681322310291,0.0514681322310291,1.69407755499623,0.239187633162221,0.239187633162221,NA,NA,1.2293946931074,1.69528037304301
HATS-9,1.14,1.07,1.26,1.57,0.06,5656,116,4.12,0.09,0.46,0.03,0.12,1.01,0.08,0,UVES,0.0648300890989311,0.0471036808155905,0.0837314891262153,2.30860069927798,2.20640027800652,2.41437881401002,5.4744,4.624622,7.449785,1.216943,1.137772,1.253167,1.570607,1.505713,1.630296,116,116,0.09,0.09,NA,NA,NA,1.13087780681558,0.044585974287929,0.044585974287929,1.61672701342751,0.206880794352139,0.206880794352139,1,1,1.04083412882085,1.47729353505262
HD149026,1.28,1.16,1.33,1.31,0.05,6128,96,4.24,0.06,0.26,0.04,0.1,1.36,0.05,0,TNG,0.0201791670225311,0.00729957814720584,0.0363636483905673,2.77786418226648,2.6920874667687,2.88725987178521,2.782573,2.02328,3.497567,1.294257,1.254259,1.33056,1.468049,1.41654,1.521993,96,96,0.06,0.06,NA,NA,NA,1.25056980424459,0.0380332700431277,0.0380332700431277,1.41306793508606,0.124069866775633,0.124069866775633,NA,NA,1.1659203990454,1.5645115076496
HD17156,1.22,1.1,1.3,1.15,0.07,5950,115,3.97,0.13,0.22,0.03,0.08,1.13,0.1,0,B21,0.0274176635976367,0.0111312825678562,0.0452187878544183,2.87767171747445,2.77163797426448,3.00105699593129,3.964517,3.256511,4.912346,1.267901,1.21379,1.303182,1.590504,1.520908,1.657596,115,115,0.13,0.13,NA,NA,NA,1.18011872813621,0.0427610781861791,0.0427610781861791,1.98518525953821,0.364376667923153,0.364376667923153,NA,NA,1.14011385616126,1.59961090569359
HD209458,0.92,0.81,1.06,1.38,0.08,5665,118,4.23,0.17,-0.1,0.01,0.17,1.08,0.15,1,B21,0.00458855474955133,0.00109140449699564,0.0128033619711573,1.73728123686795,1.71759653146834,1.77160079706649,10.665818,7.990932,13.053686,0.962458,0.890258,1.040153,1.348827,1.294617,1.405612,118,118,0.17,0.17,NA,NA,NA,1.01163054883338,0.0465852152221703,0.0465852152221703,1.29315728279754,0.314777684389232,0.314777684389232,NA,NA,1.00093632359313,1.27563597025219
HD3167,0.82,0.74,0.94,1.8,0.09,5212,150,4.47,0.11,-0.01,0,0.12,1.09,0.15,1,Ar,0.0632969388563486,0.0437720610410497,0.0819791266374015,0.618687735075269,0.594035384602887,0.64402173412493,NA,NA,NA,0.823332,0.769136,0.887224,0.944994,0.896849,0.993613,150,150,0.11,0.11,NA,NA,NA,0.899750547088459,0.0448916536558362,0.0448916536558362,0.896332147066395,0.139680485549423,0.139680485549423,NA,NA,0.862854561157411,0.886383838127615
HD80606,1,0.91,1.14,1.62,0.07,5464,137,4.39,0.16,0.4,0.02,0.11,0.82,0.15,1,B21,0.0324192750740963,0.0156440246247003,0.0513167483795833,1.03505097600568,0.999363443323954,1.07856315693082,7.380226,3.372206,11.538162,1.028495,0.974875,1.084985,1.115939,1.066271,1.173793,137,137,0.16,0.16,NA,NA,NA,1.05153419740015,0.0504600501889945,0.0504600501889945,1.08886509570084,0.2475834378468,0.2475834378468,1,1,0.915483258298821,0.9974043862726
