ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	e1_Fe/H	e2_Fe/H	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database	rho	erho1	erho2
EPIC206064678	1,01	0,04	0,04	0,98	0,02	0,02	5562	71	71	0,26	0,11	0,11	NA	4,453	0,013	0,013	NA	0,9558	0,0889516392597488	0,0889516392597488	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,25618549539756125	0,01868031806782994	0,01868031806782994
EPIC206064711	1,27	0,05	0,05	1,57	0,03	0,03	6563	71	71	-0,18	0,08	0,08	NA	4,147	0,011	0,011	NA	3,997	0,308407549090577	0,308407549090577	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,07834587844936815	0,005448357640936688	0,005448357640936688
EPIC206070413	1,23	0,07	0,07	1,52	0,04	0,04	6446	71	71	-0,13	0,08	0,08	NA	4,16	0,014	0,014	NA	3,855	0,316837613447796	0,316837613447796	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,0836152973068422	0,008137577108751888	0,008137577108751888
EPIC206078331	0,94	0,04	0,04	1,13	0,03	0,03	5809	78	78	-0,18	0,11	0,11	NA	4,306	0,012	0,012	NA	1,423	0,123992980527382	0,123992980527382	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,15552632638336103	0,014044175599707933	0,014044175599707933
EPIC206088888	1,08	0,06	0,06	1,3	0,03	0,03	5965	71	71	-0,02	0,08	0,08	NA	4,242	0,012	0,012	NA	2,132	0,17966884307268	0,17966884307268	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,11735594347240348	0,010417162418641322	0,010417162418641322
EPIC206094605	1,4	0,11	0,11	2,01	0,07	0,07	6537	78	78	0,04	0,08	0,08	NA	3,979	0,014	0,014	NA	6,616	0,579248511148907	0,579248511148907	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,041157714865313576	0,00538034466219134	0,00538034466219134
EPIC206107253	1,16	0,03	0,03	1,31	0,02	0,02	6290	65	65	-0,18	0,08	0,08	NA	4,267	0,01	0,01	NA	2,481	0,20841508252867	0,20841508252867	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,12318433772471749	0,006479339794244673	0,006479339794244673
EPIC206108325	1,3	0,05	0,05	2,15	0,05	0,05	6433	71	71	-0,18	0,11	0,11	NA	3,887	0,014	0,014	NA	7,835	3,43972966891016	3,43972966891016	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,031227654322683134	0,00248780471655474	0,00248780471655474
EPIC206184719	1,44	0,06	0,06	2,78	0,08	0,08	5822	84	84	-0,02	0,11	0,11	NA	3,706	0,013	0,013	NA	12,87	1,13826427749362	1,13826427749362	NA	PMS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,016000718878892258	0,0015338290696814804	0,0015338290696814804
EPIC206189649	1,17	0,06	0,06	2,0	0,05	0,05	6082	78	78	-0,18	0,11	0,11	NA	3,907	0,012	0,012	NA	8,906	1,59769482996764	1,59769482996764	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,03491461564078454	0,0031722092449492905	0,0031722092449492905
