Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
8711	EPIC246121372	0.665	0.185	0.185	8.769	0.775	0.775	4688.0	8.0	8.0	33.5	5.9	5.9	-0.3165	0.0077	0.0077	2.808	0.024	0.024	0.00099	0.00038	0.00038	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8712	EPIC220648250	1.199	0.139	0.139	8.388	0.308	0.308	4699.0	8.0	8.0	30.9	2.3	2.3	-0.1649	0.0075	0.0075	2.658	0.023	0.023	0.00203	0.00032	0.00032	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8713	EPIC206214910	1.154	0.102	0.102	7.172	0.202	0.202	4837.0	9.0	9.0	25.4	1.4	1.4	-0.4245	0.0078	0.0078	2.741	0.026	0.026	0.00313	0.00038	0.00038	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8714	EPIC212709177	1.076	0.18	0.18	9.722	0.517	0.517	4819.0	14.0	14.0	45.9	4.9	4.9	-0.7799	0.0118	0.0118	2.433	0.038	0.038	0.00117	0.00027	0.00027	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8715	EPIC201617015	0.966	0.468	0.468	12.156	1.865	1.865	4968.0	30.0	30.0	81	25	25	-0.6183	0.0158	0.0158	2.279	0.059	0.059	0.00054	0.00036	0.00036	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8716	EPIC204164545	1.154	0.283	0.283	15.414	1.198	1.198	4320.0	10.0	10.0	75	12	12	0.0821	0.0125	0.0125	2.071	0.029	0.029	0.00032	0.00011	0.00011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8717	EPIC212512569	0.998	0.123	0.123	5.901	0.232	0.232	4972.0	15.0	15.0	19.2	1.5	1.5	-0.7334	0.0108	0.0108	2.884	0.037	0.037	0.00486	0.00083	0.00083	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8718	EPIC204543124	0.833	0.184	0.184	10.238	0.724	0.724	4531.0	7.0	7.0	39.8	5.6	5.6	-0.2533	0.008	0.008	2.301	0.024	0.024	0.00078	0.00024	0.00024	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8719	EPIC210575708	0.987	0.452	0.452	13.487	1.959	1.959	4716.0	9.0	9.0	159.7	9.8	9.0	-0.6809	0.0087	0.0087	2.105	0.029	0.029	0.00040	0.00025	0.00025	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8720	EPIC210597352	1.233	0.223	0.223	17.329	1.006	1.006	4360.0	10.0	10.0	98	11	11	-0.282	0.0133	0.0133	2.076	0.033	0.033	0.000237	0.000059	0.000059	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8721	EPIC212539507	0.876	0.062	0.062	8.001	0.183	0.183	4748.0	17.0	17.0	29.3	1.4	1.4	-0.4893	0.0155	0.0155	2.555	0.043	0.043	0.00171	0.00017	0.00017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8722	EPIC210597322	1.429	0.092	0.092	7.999	0.166	0.166	4865.0	9.0	9.0	33.16	0.9	0.87	-0.2557	0.0074	0.0074	2.761	0.024	0.024	0.00279	0.00025	0.00025	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8723	EPIC220303233	0.956	0.033	0.033	5.145	0.058	0.058	4778.0	9.0	9.0	14.37	0.51	0.54	-0.3136	0.0077	0.0077	3.034	0.025	0.025	0.00702	0.00034	0.00034	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
