hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HAT-P-3,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5185.0,80.0,-80.0,0.0,0.87,0.06,-0.06,0.0,1.06,0.28,-0.28,0.0,0.27,,,0.0,[Fe/H],,,,,4.56,0.03,-0.03,0.0
GJ 86,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5182.0,11.0,-11.0,0.0,0.77,0.01,-0.01,0.0,0.93,0.06,-0.06,0.0,-0.22,,,0.0,[Fe/H],,,,,4.63,0.02,-0.02,0.0
HD 137388,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5181.0,29.0,-29.0,0.0,0.88,0.01,-0.01,0.0,0.68,0.05,-0.05,0.0,0.19,,,0.0,[Fe/H],,,,,4.39,0.03,-0.03,0.0
Kepler-257,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5180.0,200.0,-200.0,0.0,1.037,0.518,-0.518,0.0,,,,,,,,,,,,,,4.36,0.3,-0.3,0.0
Kepler-386,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5178.0,200.0,-200.0,0.0,0.767,0.429,-0.429,0.0,,,,,,,,,,,,,,4.558,0.3,-0.3,0.0
TOI-1758,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5169.0,122.0,-122.0,0.0,0.81,0.05,-0.05,0.0,0.88,0.11,-0.11,0.0,,,,,,,,,,,,,
Kepler-390,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5166.0,100.0,-100.0,0.0,0.776,0.053,-0.053,0.0,,,,,,,,,,,,,,4.569,0.15,-0.15,0.0
TOI-1798,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5165.0,104.0,-104.0,0.0,0.78,0.04,-0.04,0.0,0.87,0.11,-0.11,0.0,,,,,,,,,,,,,
Kepler-250,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5160.0,200.0,-200.0,0.0,0.805,0.462,-0.462,0.0,,,,,,,,,,,,,,4.565,0.3,-0.3,0.0
Kepler-290,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5147.0,200.0,-200.0,0.0,0.743,0.382,-0.382,0.0,,,,,,,,,,,,,,4.622,0.3,-0.3,0.0
Kepler-1701,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5146.0,25.0,-25.0,0.0,0.840217,,,0.0,0.87,,,0.0,0.03,0.1,-0.1,0.0,[M/H],-0.35064,,,0.0,4.5288,,,0.0
Kepler-1692,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5146.0,122.0,-122.0,0.0,0.866139,,,0.0,0.87,,,0.0,,,,,,-0.32425,,,0.0,4.50241,,,0.0
HD 114783,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,K0,5135.0,44.0,-44.0,0.0,,,,,0.853,0.034,-0.034,0.0,0.21,0.03,-0.03,0.0,[Fe/H],,,,,,,,
TOI-5803,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,5134.0,121.0,-121.0,0.0,0.7625,0.0451,-0.0451,0.0,0.87,0.1032,-0.1032,0.0,,,,,,,,,,4.613,0.085,-0.085,0.0
K2-15,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5131.0,69.0,-65.0,0.0,0.68,0.06,-0.03,0.0,0.72,0.06,-0.03,0.0,-0.46,0.2,-0.14,0.0,[Fe/H],,,,,,,,
