Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5596.0,,-0.255,,61.0,,0.065,
5596.0,4.23,0.4,,20.0,0.05,,
5595.0,4.567,,,200.0,0.3,,
5593.0,4.152,,,100.0,0.15,,
5588.0,4.551,,,200.0,0.3,,
5588.0,4.46,0.24,,115.0,0.2,,
5588.0,4.33,0.01,,80.0,0.06,,
5583.0,,,,110.0,,,
5580.0,4.495,,,131.0,0.15,,
5577.0,4.475,,,145.0,0.15,,
5577.0,4.34,-0.01,0.8035261221856173,33.0,0.03,,0.005531434917640632
5576.0,,,,48.0,,,
5575.53,,0.225,,31.15,,0.029,
5573.0,4.516,,,200.0,0.3,,
5571.0,4.586,,,200.0,0.3,,
5570.0,4.39,-0.08,,12.0,0.02,,
5568.0,4.38,0.22,,90.0,0.03,,
5561.0,4.42,0.35,,24.0,0.02,,
5560.0,4.466,,,100.0,0.15,,
5554.0,4.585,,,200.0,0.3,,
5551.0,4.223,,,111.0,0.19,,
5550.0,4.01,0.08,,100.0,0.03,,
5550.0,,,0.6469936228086812,56.0,,,0.031249431737010003
5545.0,,,,,,,
5544.0,4.506,,,148.0,0.15,,
5544.0,,0.24,0.9772372209558107,,,,0.12609918275343424
5542.0,4.41433,,0.8796906986261408,123.0,,,
5540.0,,,,63.0,,,
5538.0,4.38,0.22,,14.0,0.02,,
5534.0,,-0.09,,61.0,,0.065,
5534.0,3.92,,,,,,
5526.0,4.487,,,100.0,0.15,,
5526.0,4.486,,,100.0,0.15,,
5526.0,4.375,,,100.0,0.15,,
5522.0,3.97,,,,,,
5519.0,4.53,0.23,,70.0,0.12,,
5513.0,4.472,,,100.0,0.15,,
5509.0,3.72,,,,,,
5505.2,,,,89.4,,,
5505.0,4.41,-0.14,,63.0,0.1,,
5504.0,,,,130.0,,,
5502.7,,,,75.75,,,
5502.0,4.62,,,200.0,0.3,,
5502.0,3.903,,,206.0,0.35,,
5501.0,4.53812,,0.6290425164023796,122.0,,,
5497.0,4.493,,,200.0,0.3,,
5495.0,3.95,,,,,,
5484.0,4.5765,,0.5687612499731385,123.0,,,
5482.0,4.579,,,248.0,0.07,,
5473.91,4.53407,0.0562,0.6225295913039163,132.7,,0.0143,
5473.19,4.43157,-0.0347,0.7878254387594218,123.22,,0.0131,
5471.0,,,1.009996805121105,76.0,,,0.04881546835510586
5470.0,,,,110.0,,,
5468.0,4.43,-0.11,,14.0,0.04,,
5466.0,,0.27,,60.0,,0.06,
5466.0,,,0.637000832620798,45.5,,,0.0019989687724326632
5460.0,4.555,,,200.0,0.3,,
5450.0,4.6,-0.2,,100.0,0.2,,
5449.0,4.41,-0.16,,11.0,0.0,,
5441.0,4.519,,,249.0,0.072,,
5440.0,4.512,,,115.0,0.055,,
5440.0,,0.2,0.8128305161640993,,,,0.08839455608910929
5436.0,,,,106.5,,,
5433.0,4.551,,,200.0,0.3,,
5433.0,,-0.12,,96.5,,0.09000000000000001,
5429.0,4.50699,,0.6344099707738233,122.0,,,
5428.0,4.466,,,100.0,0.15,,
5428.0,,0.0,0.7250033277865748,80.0,,,0.012888538012612416
5421.0,,0.05,,64.0,,0.07,
5421.0,4.35,0.19,,77.0,0.0,,
5413.0,4.619,,,200.0,0.3,,
5413.0,4.522,,,255.0,0.074,,
5411.0,4.584,,,200.0,0.3,,
5404.0,4.53983,,0.5713733761118394,122.0,,,
5404.0,4.446,,,200.0,0.3,,
5400.0,,,,100.0,,,
5399.0,4.37,0.27,,18.0,0.04,,
5395.0,,,,64.0,,,
5393.0,4.69,0.38,,44.0,0.06,,
5392.0,3.88,,,,,,
5388.0,4.501,,,100.0,0.15,,
5387.0,4.52,,,44.0,0.06,,
5385.0,,-0.05,0.6025595860743578,20.0,,0.02,0.027119648737200852
5381.0,4.465,,,100.0,0.15,,
5378.0,4.465,,,100.0,0.15,,
5376.0,4.57,,,250.0,0.3,,
5371.0,4.35,0.32,,28.0,0.05,,
5368.0,,-0.08,,44.0,,0.05,
5367.0,,0.19,,94.0,,0.1,
5360.0,4.614,,,200.0,0.3,,
5357.0,,-0.36,,68.0,,0.05,
5341.0,4.6,0.32,,31.0,0.1,,
5333.0,4.619,,,200.0,0.3,,
5329.0,4.603,,,200.0,0.3,,
5329.0,,0.27,0.6025595860743578,,,,0.06552778970410511
5312.0,4.576,,,82.0,0.05,,
5312.0,4.43,0.41,,100.0,0.15,,
5311.0,4.646,,,200.0,0.3,,
5309.0,4.583,,,200.0,0.3,,
5307.0,4.572,,,100.0,0.15,,
5302.0,4.613,,,200.0,0.3,,
5302.0,4.36,0.24,,80.0,0.04,,
5301.0,4.49,0.04,,6.0,0.02,,
5299.0,4.536,,,100.0,0.15,,
5298.0,,0.27,,99.0,,0.1,
5297.0,4.426,,,200.0,0.3,,
5294.0,,0.26,0.6309573444801932,,,,0.04211368912460434
5285.0,4.533,0.24,,,,,
5282.0,4.594,,,200.0,0.3,,
5282.0,4.34,0.35,,32.0,0.05,,
5275.0,4.5,0.05,,75.0,0.1,,
5274.0,4.321,,,200.0,0.3,,
5272.0,4.546,,,200.0,0.3,,
5271.0,,0.36,0.6025595860743578,,,,0.040218260884008705
5265.0,4.576,,,200.0,0.3,,
5261.0,,0.04,,60.0,,0.05,
5257.0,,,,112.0,,,
5253.0,,,,123.0,,,
5250.0,4.494,,,257.0,0.2,,
5250.0,4.45,0.22,,84.0,0.15,,
5243.0,4.593,,,126.0,0.087,,
5243.0,4.543,,,100.0,0.15,,
5241.0,4.499,,,100.0,0.03,,
5235.0,4.619,,,200.0,0.3,,
5233.0,,,,60.0,,,
5230.0,4.57,0.02,,50.0,0.01,,
5228.0,4.565,,,200.0,0.3,,
5221.0,4.45,,,,,,
5213.0,4.533,,,336.0,0.08,,
5212.9,,,,74.1,,,
